label,entityLabel,countryLabel
YF-12戰鬥機,Lockheed YF-12,United States of America
德弗林格尔级战列巡洋舰,Derfflinger-class battlecruiser,German Empire
区,arrondissement of France,France
孟加拉国行政区划,division of Bangladesh,Bangladesh
也门行政区划,governorate of Yemen,Yemen
廉價公寓大樓,Tenement,United States of America
副地级市,subprefecture-level city,People's Republic of China
F-35閃電II戰鬥機,F-35 Lightning II,United States of America
区,district of Iran,Iran
地级行政区,prefecture of the People's Republic of China,People's Republic of China
坦桑尼亞行政區劃,region of Tanzania,Tanzania
東京都區部,special wards of Tokyo,Japan
縣,district of Myanmar,Myanmar
菲律賓政區,region of the Philippines,Philippines
尼加拉瓜行政區劃,department of Nicaragua,Nicaragua
米格-29戰鬥機,MiG-29,East Germany
俄罗斯联邦主体,federal subject of Russia,Russia
县级行政区,county-level division,People's Republic of China
IX級潛艇,Type IX submarine,Nazi Germany
萨尔瓦多行政区划,department of El Salvador,El Salvador
英国的构成国,country of the United Kingdom,United Kingdom
社区,residential community of the People's Republic of China,People's Republic of China
马肯森级战列巡洋舰,Mackensen-class battlecruiser,German Empire
幽州,Youzhou,People's Republic of China
德意志级装甲舰,Deutschland-class cruiser,Germany
F-80戰鬥機,P-80 Shooting Star,United States of America
希佩尔海军上将级重巡洋舰,Admiral Hipper-class cruiser,Nazi Germany
XXIII級潛艇,German Type XXIII submarine,Nazi Germany
省,eyalet of the Ottoman Empire,Ottoman Empire
奥地利法定城市,statuatory city of Austria,Austria
拉脫維亞計畫區,planning region of Latvia,Latvia
特区 (中国县级行政区),special district,People's Republic of China
博茨瓦纳行政区划,district of Botswana,Botswana
鎮區,township of Burma,Myanmar
縣級行政區,county level division of the Republic of China,Taiwan
法属波利尼西亚行政区划,Administrative divisions of French Polynesia,France
海地行政区划,department of Haiti,Haiti
Octopus,Octopus,Netherlands
鄉級行政區,township level division of the Republic of China,People's Republic of China
非都市郡,non-metropolitan county,United Kingdom
布倫瑞克級戰艦,Braunschweig-class battleship,German Empire
F-104星式戰鬥機,F-104 Starfighter,United States of America
區 (馬達加斯加),region of Madagascar,Madagascar
越南县级以上行政区列表,district of Vietnam,Vietnam
直轄市,municipality of Lithuania,Lithuania
法定洞,beopjeongdong,South Korea
阿爾巴尼亞行政區劃,county of Albania,Albania
吉布提行政区划,region of Djibouti,Djibouti
大不列顛王國國會選區,constituency of the Parliament of Great Britain,Kingdom of Great Britain
社区服务中心,Q39357844,People's Republic of China
希臘州份,prefecture of Greece,Greece
英國國會選區,constituency of the Parliament of the United Kingdom,United Kingdom
英國的選區,ward or electoral division of the United Kingdom,United Kingdom
丹麥王國共同體,Danish Realm,Kingdom of Denmark
大区,region of France,France
市社,district-level town of Vietnam,Vietnam
委内瑞拉行政区划,state of Venezuela,Venezuela
立陶宛縣份,county of Lithuania,Lithuania
克里米亞行政區劃,administrative territorial entity of Crimea,Ukraine
X級潛艇,German Type X submarine,Germany
哥伦比亚行政区划,department of Colombia,Colombia
M36驅逐戰車,M36 tank destroyer,United States of America
毛奇级战列巡洋舰,Moltke class battlecruiser,German Empire
城,Japanese castle,Japan
柯尼斯堡級輕巡洋艦,Königsberg-class cruiser,German Empire
俄罗斯自治州,autonomous oblast of Russia,Russia
印度诸邦与联邦属地,state or territory of India,India
乡级行政区,township-level division,People's Republic of China
北安普頓級重巡洋艦,Northampton class cruiser,United States of America
博格级護航航空母艦,Bogue-class escort carrier,United States of America
市議會,county borough of the United Kingdom,United Kingdom
大行政区,greater administrative area of China,People's Republic of China
都會郡,metropolitan county,United Kingdom
广域市,metropolitan city of South Korea,South Korea
F-22猛禽戰鬥機,F-22 Raptor,United States of America
俄羅斯聯邦管區,federal district of Russia,Russia
奥地利行政区划,state of Austria,Austria
M級輕巡洋艦,M-class cruiser,Nazi Germany
萊比錫級輕巡洋艦,Leipzig-class cruiser,German Empire
約克代艦級戰鬥巡洋艦,Ersatz Yorck-class battlecruiser,German Empire
威尔士行政区划,administrative subdivision of Wales,United Kingdom
乡,commune of Romania,Romania
科特迪瓦行政区划,region of Côte d'Ivoire,Ivory Coast
Ripsaw Falls,Ripsaw Falls,Netherlands
海外領地,overseas territory,France
匈牙利行政區劃,county of Hungary,Hungary
VII級潛艇,Type VII,Germany
面,myeon,South Korea
非建制領地,unorganized territory,United States of America
支廳,subprefecture of Japan,Japan
特定市,Specific City,South Korea
苏格兰行政区划,administrative territorial entity of Scotland,United Kingdom
曼谷区,district of Bangkok,Thailand
联邦州,state of Germany,Germany
加拿大省份,province in Canada,Canada
新喀里多尼亚行政区划,administrative territorial entity of New Caledonia,France
越南的省,province of Vietnam,Vietnam
Tami-Tami,Tami-Tami,Spain
赫尔戈兰级战列舰,Helgoland-class battleship,German Empire
爱德华王子岛省行政区划,county of Prince Edward Island,Canada
嘎查,Gaqaa,People's Republic of China
島嶼地區,insular area,United States of America
东岳庙,Dongyue Temple,People's Republic of China
英属印度诸省,Provinces of India,India
省,department of France,France
北爱尔兰行政区划,administrative territorial entity of Northern Ireland,United Kingdom
埃塞俄比亚行政区划,region of Ethiopia,Ethiopia
新喀里多尼亚行政区划,administrative territorial entity of New Caledonia,New Caledonia
三號突擊炮,Sturmgeschütz III,Nazi Germany
美国州份,state of the United States,United States of America
副省级市辖区,State-level new areas of the People's Republic of China,People's Republic of China
县辖区,county-controlled district,People's Republic of China
亞特蘭大級輕巡洋艦,Atlanta class cruiser,United States of America
波特蘭級重巡洋艦,Portland-class cruiser,United States of America
德意志級戰艦,Deutschland-class battleship,German Empire
新区,new area of China,People's Republic of China
洪都拉斯行政区划,department of Honduras,Honduras
阿爾卡乍,alcázar,Spain
塞浦路斯行政区划,administrative territorial entity of Cyprus,Cyprus
F-2戰鬥機,F-2,United States of America
法国海外省和海外领地,Overseas France,France
城際共同體,Intermunicipal communities of Portugal,Portugal
情侣酒店,Love hotel,Japan
He 162戰鬥機,He 162 Volksjäger,Germany
城際共同體,Mancomunidad,Portugal
较大的市,large city,People's Republic of China
冰島地區,region of Iceland,Iceland
英國皇家兵工廠,Royal Ordnance Factory,United Kingdom
縣,canton of France (until 2015),France
县,district of Austria,Austria
县,county of Poland,Poland
县,district of Afghanistan,Afghanistan
英格兰行政区划,administrative territorial entity of England,United Kingdom
玻利维亚行政区划,department of Bolivia,Bolivia
次區,subregion of Finland,Finland
巴黎革命派,revolutionary section of Paris,France
塞爾維亞城市列表,list of cities in Serbia,Serbia
法戈級輕巡洋艦,Fargo-class cruiser,United States of America
衣阿华级战列舰,Iowa-class battleship,United States of America
民族自治地方,autonomous administrative territorial entity of China,People's Republic of China
省,governorate,Soviet Union
自治县,autonomous county,People's Republic of China
愛爾蘭行政區劃,county of Ireland,Ireland
英格蘭的區域,region of England,United Kingdom
塔斯马尼亚州地方政府区域,local government area of Tasmania,Australia
維多利亞州地方政府區域,local government area of Victoria,Australia
都督區,praetorian prefecture,Roman Empire
新南威爾斯州地方政府區域,local government area of New South Wales,Australia
危地马拉行政区划,department of Guatemala,Guatemala
州 (墨西哥),state of Mexico,Mexico
区,district of Syria,Syria
阿拉斯加级大型巡洋舰,Alaska-class cruiser,United States of America
H级战列舰,H class battleship proposals,Nazi Germany
密蘇里州鎮區列表,township of Missouri,United States of America
塞拉利昂行政区划,province of Sierra Leone,Sierra Leone
布基納法索大區,region of Burkina Faso,Burkina Faso
利比亚行政区划,district of Libya,Libya
俄罗斯的共和国,republic of Russia,Russia
俄罗斯城市列表,cities and towns in Russia,Russia
喀麦隆行政区划,region of Cameroon,Cameroon
不列颠哥伦比亚省城市列表,city in British Columbia,Canada
布基纳法索行政区划,province of Burkina Faso,Burkina Faso
省,province of Mongolia,Mongolia
斯里兰卡行政区划,province of Sri Lanka,Sri Lanka
Me 163戰鬥機,Me 163 Komet,Germany
中非共和国行政区划,prefecture of the Central African Republic,Central African Republic
倫敦市的坊,ward of the City of London,United Kingdom
甘比亞的二級行政區,district of the Gambia,Gambia
澳大利亞地方政府,local government area of Australia,Australia
文莱行政区划,district of Brunei,Brunei
水利委員會,water board in the Netherlands,Netherlands
毛里求斯行政区划,district or dependency of Mauritius,Mauritius
刚果共和国行政区划,department of the Republic of the Congo,Republic of the Congo
阿姆斯壯工學院,college of the University of Durham,United Kingdom
保加利亚行政区划,province of Bulgaria,Bulgaria
尼泊尔开发区,development region of Nepal,Nepal
巴西州,state of Brazil,Brazil
省,province of the Republic of China,Taiwan
塔吉克斯坦行政区划,province of Tajikistan,Tajikistan
自治州,autonomous prefecture,People's Republic of China
地區服務局,local services board,Canada
西澳大利亚地区,region of Western Australia,Australia
几内亚比绍行政区划,region of Guinea-Bissau,Guinea-Bissau
尼泊尔行政区划,zone of Nepal,Nepal
军区制,theme of the Byzantine Empire,Byzantine Empire
魁北克省的城市群,urban agglomeration in Québec,Canada
分割行政區,separated municipality in Ontario,Canada
安大略省行政區劃,regional municipality in Canada,Canada
縣,department of Burkina Faso,Burkina Faso
利比里亚行政区划,county of Liberia,Liberia
He 115水上轟炸機,He 115,Germany
魁北克行政区划,administrative territorial entity of Quebec,Canada
公共租住房屋,Public Rental Housing,People's Republic of China
加纳行政区划,region of Ghana,Ghana
北領地地方政府區域,local government area of the Northern Territory,Australia
巴黎区份,arrondissement of Paris,France
特立尼达和多巴哥行政区划,regional corporation or municipality of Trinidad and Tobago,Trinidad and Tobago
He 177轟炸機,He 177 Greif,Germany
圣多美和普林西比行政区划,province of São Tomé and Príncipe,São Tomé and Príncipe
沙特阿拉伯行政区划,region of Saudi Arabia,Saudi Arabia
努纳武特行政区划,region of Nunavut,Canada
獨立學校,independent school,United Kingdom
选区,French legislative constituency,France
宗,dzongkhag,Bhutan
T-33教練機,T-33 Shooting Star,United States of America
亞美尼亞行政區劃,region of Armenia,Armenia
鎮區 (愛爾蘭),townland,Ireland
郡,county of England,United Kingdom
區 (馬耳他),district of Malta,Malta
憲章鄉,charter township of Michigan,United States of America
剑桥大学学院列表,college of the University of Cambridge,United Kingdom
津巴布韦行政区划,province of Zimbabwe,Zimbabwe
地方政府,Local government in the Republic of Ireland,Ireland
县,district of Kenya,Kenya
愛沙尼亞行政區劃,county of Estonia,Estonia
俄羅斯自治區,autonomous okrug of Russia,Russia
苏联加盟共和国,republics of the Soviet Union,Soviet Union
尼日利亚行政区划,state of Nigeria,Nigeria
比利時行政區劃,"community, region or language area of Belgium",Belgium
东,dungkhag,Bhutan
單一管理區,unitary authority of England,United Kingdom
地區自治體,regional municipality of Ontario,Canada
澳大利亚行政区划,state or territory of Australia,Australia
圣卢西亚行政区划,quarter of Saint Lucia,Saint Lucia
南澳大利亞州地方政府區域,local government area of South Australia,Australia
摩洛哥行政区划,region of Morocco,Morocco
紐西蘭二級行政區劃,territorial authority of New Zealand,New Zealand
几内亚行政区划,region of Guinea,Guinea
福克 Dr.I战斗机,Fokker Dr.I,Germany
安道尔城市列表,list of cities in Andorra,Andorra
Ar 68戰鬥機,Ar 68,Germany
延安高速公路,Yan'an Expressway,People's Republic of China
市鎮 (愛沙尼亞),municipality of Estonia,Estonia
帛琉行政區劃,state of Palau,Palau
圣文森特和格林纳丁斯行政区划,parish of Saint Vincent and the Grenadines,Saint Vincent and the Grenadines
格窝,gewog of Bhutan,Bhutan
南苏丹行政区划,state of South Sudan,South Sudan
马拉维行政区划,district of Malawi,Malawi
不列颠哥伦比亚省行政区划,regional district of British Columbia,Canada
纳米比亚行政区划,region of Namibia,Namibia
乍得行政区划,region of Chad,Chad
He 51戰鬥機,He 51,Germany
苏联自治共和国,autonomous soviet socialist republic of a union republic of the Soviet Union,Soviet Union
魁北克省地区列表,administrative region in Quebec,Canada
尼日尔行政区划,region of Niger,Niger
安大略省行政区划,census division of Ontario,Canada
北方邦行政区划,district of Uttar Pradesh,India
丹麦大区,region of Denmark,Denmark
旗,banner,People's Republic of China
Chow Shock Labyrinth,Chow Shock Labyrinth,Japan
紐西蘭一級行政區劃,region of New Zealand,New Zealand
元首總部,Führer Headquarters,Germany
區,district of England,United Kingdom
昆士蘭州地方政府區域,local government area of Queensland,Australia
多哥行政区划,region of Togo,Togo
吉尔吉斯斯坦行政区划,region of Kyrgyzstan,Kyrgyzstan
罗马帝国行省,Roman province,ancient Rome
M3/M5斯圖亞特坦克,M3 Stuart,United States of America
马来西亚州属和联邦直辖区,state or federal territory of Malaysia,Malaysia
七姐妹,Seven Sisters,Russia
巴哈马行政区划,district of the Bahamas,The Bahamas
Do 17轟炸機,Do 17,Germany
蚊式轟炸機,Mosquito,Canada
贾坎德邦行政区划,List of districts of Jharkhand,India
西澳大利亞州地方政府區域,local government area of Western Australia,Australia
突尼斯城市列表,list of cities in Tunisia,Tunisia
毛里塔尼亚行政区划,region of Mauritania,Mauritania
原住民保留地,Indian reserve in Canada,Canada
BMD-4步兵战车,BMD-4,Russia
突尼斯行政区划,governorate of Tunisia,Tunisia
勘查鎮區,survey township,United States of America
自治区,autonomous region of the People's Republic of China,People's Republic of China
乡,township of the People's Republic of China,People's Republic of China
联邦直辖区,federal territory of Malaysia,Malaysia
塞内加尔行政区划,region of Senegal,Senegal
东帝汶行政区划,municipality of East Timor,East Timor
土邦,princely state of the British Raj,British Raj
贝宁行政区划,department of Benin,Benin
圭亚那行政区划,region of Guyana,Guyana
Bf 109戰鬥機,Bf 109,Germany
羅馬帝國管區,diocese of the Roman Empire,Roman Empire
西班牙都市区列表,metropolitan area in Spain,Spain
He 70飛機,He 70,Germany
巴拉圭行政区划,department of Paraguay,Paraguay
非都市區,non-metropolitan district,United Kingdom
林区,Forestry District,People's Republic of China
土耳其地理分區,region of Turkey,Turkey
直轄市,special municipality,Taiwan
香港私人屋苑,private housing estate in Hong Kong,People's Republic of China
高層自治區,upper-tier municipality,Canada
市,provincial city,Taiwan
国家级新区,state-level new area of the People's Republic of China,People's Republic of China
香港公共房屋,public housing in Hong Kong,People's Republic of China
社区,rural commune of Vietnam,Vietnam
苏木,sumu,People's Republic of China
副省级自治州,Sub-provincial autonomous prefecture,People's Republic of China
巴伐利亚级战列舰,Bayern-class battleship,German Empire
縣,county of Ontario,Canada
英國公屋,council house,United Kingdom
英國公屋,council house,Ireland
村社,rural community of New Brunswick,Canada
紐約州行政分支機構,administrative territorial entity of New York,United States of America
地区办事处,Region (Beijing),People's Republic of China
轰-6,Xian H-6,People's Republic of China
地区,prefecture,People's Republic of China
已不存之加拿大聯邦大選選區,Historical federal electoral districts of Canada,Canada
威斯康星州行政分支機構,administrative territorial entity of Wisconsin,United States of America
地方自治市 (賓夕法尼亞州),home rule municipality of Pennsylvania,United States of America
艾伯塔省行政区划,list of communities in Alberta,Canada
新斯科舍省社区列表,List of communities in Nova Scotia,Canada
縣轄市,county-controlled city,Taiwan
坎度重水堆,CANDU reactor,Canada
马尼托巴省人口普查分区列表,census division of Manitoba,Canada
鎮,urban township of Taiwan,Taiwan
市鎮,commune-level town of Vietnam,Vietnam
新不伦瑞克省城市列表,city of New Brunswick,Canada
坊,ward of Vietnam,Vietnam
蒂姆,deme,Classical Athens
下層自治區,lower-tier municipality,Canada
朝鲜王陵,Royal Tombs of the Joseon Dynasty,South Korea
法国的研究型大学,Pôle de recherche et d'enseignement supérieur,France
單層自治區,single-tier municipality,Canada
馬拉穆列什的木教堂群,Wooden churches of Maramureș,Romania
直轄市山地原住民區,mountain indigenous district,Taiwan
鄉,district of Indonesia,Indonesia
县,county of China,People's Republic of China
鄉,rural township of Taiwan,Taiwan
英國鄉村別墅,English country house,United Kingdom
盟,league,People's Republic of China
內布拉斯加州鎮區列表,township of Nebraska,United States of America
民族乡,ethnic township,People's Republic of China
新不伦瑞克省行政区划,county of New Brunswick,Canada
區,district of Taiwan,Taiwan
歷史郡,historic county of England,United Kingdom
县级市,county-level city,People's Republic of China
鄉鎮,township of Taiwan,Taiwan
中轉房屋,Interim Housing,People's Republic of China
縣,county of Taiwan,Taiwan
